"variable","level","n","obs","pred","auc"
"income_povcat","1",2215,0.0986,0.1103,0.8856
"income_povcat","2",734,0.14,0.1276,0.912
"income_povcat","3",2028,0.1067,0.1033,0.8649
"income_povcat","4",4124,0.0922,0.0941,0.8636
"income_povcat","5",5813,0.1007,0.1122,0.8382
"income_povcat","missing/unclassified",119,0.0755,0.0677,0.3398
"race_ethnicity","1",3106,0.0456,0.0587,0.891
"race_ethnicity","2",8396,0.1254,0.1307,0.8386
"race_ethnicity","3",2120,0.0946,0.0889,0.8625
"race_ethnicity","4",838,0.0674,0.0722,0.8396
"race_ethnicity","5",573,0.0668,0.0827,0.8596
